name;manual;symbol;image
3031;manuals/3031.pdf;F.3031.ES;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-3031-czarny_8572_k.jpg
3031;;F.3031.ES-4005;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-3031-bezowy-4005_8584_k.jpg
3031;;F.3031.ES-4009;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-3031-brazowy-400_8581_k.jpg
3031;;F.3031.ES-454;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-3031-bezowy-454_8587_k.jpg
3031;;F.3031.ES-486;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-3031-bezowy-486_8590_k.jpg
6032;;F.6032.ES;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-6032-czarny_8561_k.jpg
6032;;F.6032.4009;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-6032-brazowy-400_8569_k.jpg
6032;;F.6032.4018;https://www.dwunastka.net.pl/galerie/o/obrotowy-fotel-6032_5908_k.jpg
7410;manuals/7410.pdf;F.7410.BR;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-7410-czarno-czer_8536_k.jpg
7410;;F.7410.ES;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-7410-czarny_8552_k.jpg
7410;;F.7410.ES-4009;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-7410-brazowy-400_8547_k.jpg
7410;;F.7410.ES-4018;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-7410-bezowy-4018_8550_k.jpg
Ullr;manuals/ullr.pdf;NH-ULR-W;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ullr_8672_k.jpg
Ullr;;NH-ULR-R;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ullr_8667_k.jpg
Ullr;;NH-ULR-G;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ullr_8662_k.jpg
Ymir;manuals/ymir.pdf;NH-YMR-W;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ymir_8632_k.jpg
Ymir;;NH-YMR-CR;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ymir_8613_k.jpg
Ymir;;NH-YMR-R;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ymir_8596_k.jpg
Ymir;;NH-YMR-P;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ymir_8622_k.jpg
Ymir;;NH-YMR-B;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ymir_8649_k.jpg
Ymir;;NH-YMR-GR;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ymir_8617_k.jpg
Ymir;;NH-YMR-G;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ymir_8640_k.jpg
Ymir;;NH-YMR-Y;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-ymir_9961_k.jpg
1032;;FM.1032.C;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-1032-czarny_8509_k.jpg
1032;;FM.1032.N;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-1032-niebieski_8518_k.jpg
1032;;FM.1032.S;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-1032-szary_8515_k.jpg
1103;manuals/1103.pdf;FM.1103B.C;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-1103-czarny_8502_k.jpg
1103;;FM.1103B.N;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-1103-niebieski_9962_k.jpg
1103;;FM.1103B.S;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-1103-szary_8507_k.jpg
2030;;FM.2030P.C;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-2030-p-czarny_8490_k.jpg
2030;;FM.2030P.N;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-2030-p-niebieski_8495_k.jpg
2030;;FM.2030P.S;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-2030-p-szary_8499_k.jpg
7415;;F.7415;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-7415_8249_k.jpg
F600;;F.600.GREY;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f600-szary_8255_k.jpg
F780;;F.780.GREY;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f780-szary_8260_k.jpg
2501;;F.2501.C;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-nordhold-2501-cz_8384_k.jpg
2501;;F.2501.CZ;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-nordhold-2501-cz_8379_k.jpg
2501;;F.2501.N;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-nordhold-2501-ni_8373_k.jpg
2501;;F.2501.SZ;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-nordhold-2501-sz_8367_k.jpg
2502;;F.2502.C;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-2502-czarny_8398_k.jpg
2502;;F.2502.SZ;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-2502-szary_8391_k.jpg
8688;;F.8688.CZ;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8688-czarn_8353_k.jpg
8688;;F.8688.CZ+N;https://www.dwunastka.net.pl/galerie/f/fotel-obrotowy-wentylowa_5159_k.jpg
8904;;F.8904.B;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8904-bordo_8328_k.jpg
8904;;F.8904;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8904-czarn_8338_k.jpg
8904;;F.8904.N;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8904-niebi_8333_k.jpg
8904;;F.8904.P;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8904-pomar_8343_k.jpg
8904;;F.8904.R;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8904-rozow_8323_k.jpg
8904;;F.8904.Z;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8904-zielo_8348_k.jpg
8906;;F.8906.B;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8906-bordo_8294_k.jpg
8906;;F.8906.CZ;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8906-czarn_8308_k.jpg
8906;;F.8906.N;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8906-niebi_8287_k.jpg
8906;;F.8906.P;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8906-pomar_8316_k.jpg
8906;;F.8906.Z;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-model-8906-zielo_8301_k.jpg
F360;;F.360.BLACK;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f360-czarny_8454_k.jpg
F360;;F.360.LBLUE;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f360-niebieski_8460_k.jpg
F360;;F.360.OLIVE;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f360-oliwka_8464_k.jpg
F360;;F.360.PINK;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f360-rozowy_9900_k.jpg
F360;;F.360.GREY;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f360-szary_8468_k.jpg
F420;;F.420.BLACK;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f420-czarny_8473_k.jpg
F420;;F.420.ORANGE;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f420-pomaranczow_8480_k.jpg
F420;;F.420.GREY;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-f420-szary_8485_k.jpg
2501 PLUS;;NH-2501P.C;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-nordhold-2501-pl_8358_k.jpg
2601;;NH-2601;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-nordhold-2601-cz_8405_k.jpg
2701;;NH-2701;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-nordhold-2701-cz_8414_k.jpg
Ergo 720;;NH-720-GR;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-72_9811_k.jpg
8606;;NH-8606-W;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-86_8768_k.jpg
8606;;NH-8606-BL;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-86_9830_k.jpg
Skadi;;NH-SKD-BL;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-sk_8732_k.jpg
Skadi;;NH-SKD-R;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-sk_8712_k.jpg
Skadi;;NH-SKD-GR;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-sk_8727_k.jpg
Skadi PLUS;;NH-SKD-P-BL;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-sk_8704_k.jpg
Skadi PLUS;;NH-SKD-P-R;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-sk_8708_k.jpg
Skadi PLUS;;NH-SKD-P-GR;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-ergo-nordhold-sk_8691_k.jpg
Racer 249;;F.249.C;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-racer-249-czerwo_8527_k.jpg
Racer 249;;F.249.N ;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-racer-249-niebie_8525_k.jpg
Racer 249;;F.249.S;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-racer-249-szary_8523_k.jpg  
7000P;;NH-7000P;https://www.dwunastka.net.pl/galerie/f/fotel-biurowy-nordhold-7000p_10002_k.jpg
Aeron;;NH-AERON;https://www.dwunastka.net.pl/galerie/f/fotel-gamingowy-nordhold-aeron_9968_k.jpg
H801;;H801.BLACK;https://www.dwunastka.net.pl/galerie/h/hoker-barowy-h801-czarny_9977_k.jpg
H804;;H804.BLACK;https://www.dwunastka.net.pl/galerie/h/hoker-barowy-h804-czarny_9985_k.jpg
H900;;H900.BLACK;https://www.dwunastka.net.pl/galerie/h/hoker-barowy-h900-czarny_9996_k.jpg